date,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,non_positive_price_events,purchase_per_view_rate,cart_per_view_rate,avg_purchase_price
2020-01-07,125209,59653,34096,23896,7564,38830.28,65,0.1267999932945535,0.571572259567834,5.133564251718667
2020-01-08,131054,64140,35604,23708,7602,37210.76,45,0.11852198316183349,0.5550982226379794,4.894864509339648
2020-01-09,144709,70340,39754,25841,8774,46301.8,364,0.12473699175433609,0.5651691782769406,5.277159790289492
2020-01-10,130991,65486,33962,22968,8575,44248.64,215,0.1309440185688544,0.5186146657300797,5.160191253644315
2020-01-11,130337,65260,33698,23909,7470,36310.72,175,0.11446521605884155,0.5163653079987741,4.860872824631861
2020-01-12,145717,71530,38385,27655,8147,41880.75,99,0.11389626730043338,0.5366279882566756,5.1406345894194185
2020-01-13,160363,75508,44111,30606,10138,50184.77,200,0.13426391905493457,0.5841897547279759,4.9501647267705655
2020-01-14,163808,76985,43640,32867,10316,49728.16,256,0.13400012989543417,0.5668636747418329,4.82048856145793
2020-01-15,157848,74989,43613,29284,9962,47348.38,137,0.13284615076877943,0.5815919668218005,4.752899016261795
2020-01-16,146000,69027,39374,28245,9354,43446.15,187,0.13551219088182884,0.5704144754950962,4.644660038486209
2020-01-17,140112,65064,37400,28383,9265,43294.43,126,0.14239825402680437,0.5748186401082012,4.672901241230437
2020-01-18,119252,57418,32316,23321,6197,32230.27,97,0.10792782751053677,0.5628200215960152,5.20094723253187
2020-01-19,137205,65062,36127,27848,8168,39367.78,269,0.12554179090713474,0.555270357505149,4.819757590597454
2020-01-20,152557,72900,40810,29833,9014,45517.88,210,0.12364883401920439,0.5598079561042524,5.049687153317062
2020-01-21,150404,70681,42499,28059,9165,47214.73,233,0.12966709582490343,0.6012789858660743,5.151634478996182
2020-01-22,138344,66255,37601,25400,9088,44715.82,643,0.13716700626367823,0.5675194324956607,4.920314700704226
2020-01-23,141652,69529,38188,25235,8700,45708.89,303,0.12512764457995945,0.5492384472666082,5.25389540229885
2020-01-24,135184,66086,35532,24787,8779,42814.01,339,0.1328420542928911,0.5376630451230215,4.876866385693131
2020-01-25,120436,58142,31808,23720,6766,32850.71,33,0.11637026590072581,0.5470744040452685,4.855263080106415
2020-01-26,134735,65300,35319,25934,8182,39995.78,69,0.12529862174578868,0.5408728943338438,4.888264483011488
2020-01-27,206611,88661,56506,43130,18314,91419.66,367,0.20656207351597658,0.6373264456750996,4.9917909795784645
2020-01-28,184379,81976,49087,35964,17352,87725.65,529,0.2116717087928174,0.5987972089392017,5.055650645458736
2020-01-29,145257,70952,40400,26300,7605,39372.25,956,0.10718513924906979,0.5693990303303642,5.17715318869165
2020-01-30,142843,68605,39510,27146,7582,38993.52,665,0.11051672618613803,0.5759055462429852,5.142906884726985
2020-01-31,132564,66223,36017,22978,7346,36196.44,801,0.11092822735303444,0.5438744846956496,4.927367274707324
2020-02-01,146270,68524,41877,28434,7435,36855.51,9943,0.10850213064035959,0.6111289475220361,4.957028917283121
2020-02-02,156196,72677,44655,30149,8715,41881.35,5931,0.11991414064972412,0.6144309754117534,4.805662650602409
2020-02-03,176178,80059,51925,34196,9998,48823.58,5492,0.12488289886208921,0.6485841691752333,4.883334666933387
2020-02-04,159671,75035,44178,31521,8937,45189.09,2305,0.11910441793829546,0.5887652428866529,5.056404833836858
2020-02-05,160977,73018,45987,32469,9503,47611.01,8813,0.13014599139938096,0.6298036100687502,5.010103125328844
2020-02-06,147526,69252,39370,29695,9209,44889.98,4730,0.132978108935482,0.5685034367238492,4.874577044195895
2020-02-07,138481,66699,38563,25339,7880,39148.96,1832,0.1181427007901168,0.5781645901737658,4.968142131979695
2020-02-08,125398,59063,34962,24157,7216,37001.05,2803,0.12217462709310398,0.5919441951814165,5.127639966740577
2020-02-09,149230,68240,40475,31873,8642,41238.02,1518,0.12664126611957796,0.5931271981242673,4.7718143948160145
2020-02-10,158514,74914,42783,31836,8981,43624.33,1413,0.11988413380676509,0.5710948554342312,4.8574022937312105
2020-02-11,151019,71874,40552,29153,9440,48127.87,1934,0.13134095778723878,0.5642095890029775,5.098291313559322
2020-02-12,163754,75138,45609,33444,9563,46860.79,1405,0.1272724852937262,0.6070031142697436,4.900218550664017
2020-02-13,142549,67062,40024,26375,9088,43663.52,2079,0.13551638782022607,0.5968208523455907,4.804524647887324
2020-02-14,118554,57638,31164,22805,6947,34289.19,711,0.12052812380721052,0.5406849647801797,4.935826975672953
2020-02-15,126183,58747,37002,24399,6035,32129.03,6525,0.10272864997361568,0.6298534393245613,5.323782932891466
2020-02-16,132936,63022,36791,25719,7404,38733.2,309,0.11748278378978769,0.5837802672082765,5.231388438681793
2020-02-17,154544,71315,43346,30846,9037,46175.57,783,0.12671948397952745,0.6078104185655192,5.109612703330751
2020-02-18,147805,69933,39648,29533,8691,43892.0,576,0.12427609283171036,0.5669426451031702,5.050281900816937
2020-02-19,150873,70506,41468,29965,8934,43108.64,2023,0.12671262020253596,0.5881485263665504,4.825233937765838
2020-02-20,131305,63770,35620,23533,8382,43429.2,687,0.13144111651246668,0.5585698604359417,5.181245526127416
2020-02-21,116271,57143,30750,20821,7557,38749.49,607,0.13224716938207653,0.5381236546908633,5.127628688633055
2020-02-22,109037,53184,29016,20648,6189,31231.96,195,0.11636958483754513,0.5455776173285198,5.046366133462595
2020-02-23,120221,56862,34205,22923,6231,33401.95,643,0.10958109106257255,0.6015440891984102,5.3606082490771945
2020-02-24,142914,64902,40796,29192,8024,39515.21,3307,0.12363255369634217,0.6285784721580229,4.924627367896311
2020-02-25,157952,72601,43236,32397,9718,49080.11,1712,0.13385490557981294,0.595528987204033,5.050433216711258
2020-02-26,151357,71096,40772,30363,9126,45002.94,1134,0.12836165185101833,0.5734781140992461,4.931288625904011
2020-02-27,147881,70450,39757,27948,9726,45454.9,918,0.13805535841022,0.5643293115684883,4.673545136746864
2020-02-28,136356,66323,36566,25139,8328,40653.92,567,0.12556729942855419,0.5513321170634622,4.8815946205571565
2020-02-29,136730,64539,37597,27537,7057,36526.84,396,0.10934473729063048,0.5825469870930755,5.175972792971518
